year,Optimistic,Pessimistic,SSP1-2.6-rolling,SSP5-8.5-rolling
2038,0.34100000000000463,0.8140000000000001,0.47100000000000364,0.6370000000000005
2039,0.3640000000000043,0.8829999999999991,0.49100000000000676,0.7019999999999982
2040,0.3660000000000032,0.977999999999998,0.5010000000000048,0.7659999999999982
2041,0.3950000000000067,1.093,0.507000000000005,0.8369999999999997
2042,0.4100000000000037,1.1600000000000037,0.5270000000000046,0.9000000000000021
2043,0.4320000000000057,1.2289999999999957,0.5150000000000041,0.963000000000001
2044,0.4380000000000024,1.2949999999999982,0.522000000000002,1.0089999999999968
2045,0.4420000000000037,1.3469999999999978,0.5400000000000027,1.0779999999999994
2046,0.48799999999999955,1.376999999999999,0.5700000000000038,1.0989999999999966
2047,0.5060000000000002,1.4149999999999991,0.5830000000000055,1.1280000000000037
2048,0.5110000000000028,1.5189999999999984,0.5790000000000006,1.1930000000000014
2049,0.5079999999999991,1.5590000000000046,0.5790000000000006,1.2190000000000012
2050,0.532,1.6129999999999995,0.6000000000000014,1.2420000000000009
2051,0.539000000000005,1.6510000000000034,0.6130000000000067,1.2750000000000021
2052,0.5360000000000014,1.713000000000001,0.6199999999999974,1.3129999999999988
2053,0.5130000000000017,1.7730000000000032,0.6290000000000013,1.360000000000003
2054,0.5310000000000024,1.8389999999999986,0.6370000000000005,1.4230000000000018
2055,0.5270000000000046,1.911999999999999,0.6439999999999984,1.4430000000000014
2056,0.5280000000000058,1.998000000000001,0.6350000000000016,1.5100000000000016
2057,0.5160000000000053,2.0820000000000043,0.642000000000003,1.5620000000000012
2058,0.5160000000000053,2.1030000000000015,0.6570000000000036,1.596
2059,0.5370000000000026,2.181000000000001,0.6660000000000039,1.6460000000000043
2060,0.549000000000003,2.2360000000000007,0.6920000000000002,1.7160000000000046
2061,0.5430000000000028,2.2880000000000003,0.7019999999999982,1.7630000000000017
2062,0.5480000000000018,2.352000000000004,0.7089999999999961,1.8180000000000014
2063,0.5630000000000024,2.433,0.7290000000000028,1.8870000000000005
2064,0.5820000000000007,2.5,0.7320000000000064,1.929000000000002
2065,0.5680000000000014,2.5889999999999986,0.742000000000008,1.9710000000000036
2066,0.5470000000000041,2.655000000000001,0.7540000000000013,2.0210000000000043
2067,0.5520000000000067,2.753999999999998,0.7480000000000011,2.100999999999999
2068,0.5900000000000034,2.8309999999999995,0.7560000000000002,2.142000000000003
2069,0.6070000000000064,2.9079999999999977,0.7490000000000023,2.2139999999999986
2070,0.6140000000000043,3.024000000000001,0.7270000000000039,2.257999999999999
2071,0.6160000000000032,3.0969999999999978,0.7410000000000032,2.3010000000000055
2072,0.6280000000000037,3.195999999999998,0.7470000000000034,2.3460000000000036
2073,0.6189999999999998,3.242000000000001,0.7540000000000013,2.3850000000000016
2074,0.6140000000000043,3.3049999999999997,0.7540000000000013,2.407
2075,0.6360000000000028,3.341000000000001,0.7530000000000037,2.475999999999999
2076,0.6430000000000007,3.424999999999997,0.7370000000000019,2.519000000000002
2077,0.627000000000006,3.4720000000000013,0.7390000000000043,2.556000000000001
2078,0.5980000000000025,3.5690000000000026,0.7470000000000034,2.6080000000000005
2079,0.5910000000000046,3.658999999999999,0.7640000000000029,2.6630000000000074
2080,0.5680000000000014,3.6840000000000046,0.7680000000000007,2.7080000000000055
2081,0.5660000000000025,3.817999999999998,0.7660000000000018,2.7769999999999975
2082,0.5480000000000018,3.892000000000003,0.7910000000000039,2.8629999999999995
2083,0.5630000000000024,4.005000000000003,0.7810000000000059,2.9319999999999986
2084,0.5550000000000033,4.099000000000004,0.7790000000000035,3.0329999999999977
2085,0.5500000000000007,4.18,0.7600000000000016,3.0640000000000036
2086,0.5410000000000039,4.259,0.7650000000000041,3.1110000000000007
2087,0.5380000000000003,4.356999999999999,0.782,3.187999999999999
2088,0.5410000000000039,4.427000000000007,0.7640000000000029,3.257000000000005
2089,0.5200000000000067,4.507000000000005,0.7560000000000002,3.3089999999999975
2090,0.5080000000000062,4.641999999999996,0.757000000000005,3.394000000000002
2091,0.49200000000000443,4.7180000000000035,0.7450000000000045,3.4410000000000025
2092,0.480000000000004,4.8430000000000035,0.6830000000000034,3.4579999999999984
2093,0.4270000000000067,4.912999999999997,0.6660000000000039,3.492000000000001
2094,0.4170000000000016,5.0489999999999995,0.6720000000000041,3.5050000000000026
2095,0.40000000000000213,5.158999999999999,0.6840000000000046,3.562000000000001
2096,0.39600000000000435,5.280999999999999,0.6799999999999997,3.6469999999999985
